date,Quizlet,ABRA,British Council,Byju's,Code It,Code.org,Code Week,Discovery Education,Duolingo,Edraak,Facebook Get Digital,Feed the Monster,History of Africa,Geekie,Khan Academy,KitKit School,LabXchange,Madrasa,Mindspark,Mosoteach,Music Crab,OneCourse,Polyup,SDG Academy Library,Siyavula,Smart History
12/1/2019,80,<1,18,0,1,3,0,1,6,0,0,0,0,0,22,0,0,<1,0,0,0,0,0,0,0,0
12/8/2019,100,1,17,0,1,5,0,2,5,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0
12/15/2019,73,<1,16,0,1,4,0,1,5,0,0,0,0,0,15,0,0,<1,0,0,0,0,0,0,0,0
12/22/2019,8,0,16,0,1,1,0,0,3,0,0,0,0,0,6,0,0,<1,0,0,0,0,0,0,0,0
12/29/2019,13,1,13,0,1,1,0,<1,4,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0
1/5/2020,51,<1,17,0,2,3,0,2,6,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,<1,0
1/12/2020,71,1,16,0,2,3,0,2,7,0,0,0,0,<1,20,0,0,1,0,0,0,0,0,0,<1,0
1/19/2020,58,1,18,0,2,3,0,2,7,0,0,0,0,<1,18,0,0,1,0,0,0,0,0,0,1,0
1/26/2020,69,<1,17,0,1,2,<1,2,7,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,1,0
2/2/2020,77,1,17,0,2,4,0,2,7,0,0,0,0,<1,21,0,0,1,<1,0,0,0,0,0,<1,0
2/9/2020,84,1,17,0,3,4,0,1,7,0,0,0,0,<1,19,0,0,1,0,0,0,0,0,0,<1,0
2/16/2020,70,<1,17,0,7,3,0,2,7,0,0,0,<1,<1,18,0,0,1,0,0,0,0,0,0,1,0
2/23/2020,85,<1,17,0,1,6,0,2,7,0,0,0,0,<1,21,0,0,1,0,0,0,0,0,0,<1,0
3/1/2020,86,1,17,0,1,4,0,1,7,0,0,0,0,<1,21,0,0,1,0,0,0,0,0,0,<1,0
3/8/2020,63,1,15,0,1,4,0,2,7,0,0,0,0,<1,23,0,0,1,0,0,0,0,0,0,<1,0
3/15/2020,37,1,16,0,1,2,0,4,14,0,0,0,0,1,56,0,0,1,0,0,0,0,0,0,<1,0
3/22/2020,40,1,12,0,1,2,0,3,15,0,0,0,0,1,52,0,0,1,<1,0,0,0,0,0,1,0
3/29/2020,46,<1,10,0,1,3,0,3,16,0,0,0,0,1,54,0,0,1,<1,0,0,0,0,0,1,0
4/5/2020,44,1,9,0,1,2,<1,2,16,0,0,0,0,<1,44,0,0,1,<1,0,0,0,0,0,1,0
4/12/2020,38,1,10,0,1,2,0,2,18,0,0,0,<1,1,39,0,0,<1,<1,0,0,0,0,0,1,0
4/19/2020,49,1,9,0,1,2,0,3,21,0,0,0,0,<1,43,0,0,1,1,0,0,0,0,0,<1,0
