date,Reads,African Storybook,Global Digital Library,Room to Read,StoryWeaver,Worldreader
12/1/2019,81,0,0,0,0,0
12/8/2019,35,0,0,0,0,0
12/15/2019,77,0,0,0,0,0
12/22/2019,25,0,0,0,0,0
12/29/2019,36,0,0,0,0,0
1/5/2020,95,0,0,0,0,0
1/12/2020,83,0,0,0,0,0
1/19/2020,71,0,0,0,0,0
1/26/2020,73,0,0,0,0,0
2/2/2020,80,0,0,0,0,0
2/9/2020,88,0,0,0,0,0
2/16/2020,73,0,0,25,0,0
2/23/2020,68,0,0,0,0,0
3/1/2020,75,0,0,0,0,0
3/8/2020,52,0,0,0,0,0
3/15/2020,83,0,0,0,0,0
3/22/2020,74,0,0,0,0,0
3/29/2020,55,0,0,0,0,0
4/5/2020,61,0,0,0,0,0
4/12/2020,79,0,0,0,0,0
4/19/2020,54,0,0,0,0,0
4/26/2020,76,0,0,0,0,0
5/3/2020,60,0,0,0,0,0
5/10/2020,73,0,0,0,0,0
5/17/2020,60,0,0,0,0,0
5/24/2020,51,0,0,0,0,0
5/31/2020,67,0,0,0,0,0
6/7/2020,60,0,0,0,0,0
6/14/2020,75,0,0,0,0,0
6/21/2020,81,0,0,0,0,0
6/28/2020,69,0,0,0,0,0
7/5/2020,44,0,0,0,0,0
7/12/2020,68,0,0,0,0,0
7/19/2020,44,0,0,0,0,0
7/26/2020,48,0,0,0,0,0
8/2/2020,57,0,0,0,0,0
8/9/2020,73,0,0,0,0,0
8/16/2020,72,0,0,0,0,0
8/23/2020,83,0,0,0,0,0
8/30/2020,99,0,0,0,0,0
9/6/2020,91,0,0,23,0,0
9/13/2020,89,0,0,0,0,0
9/20/2020,87,0,0,0,0,0
9/27/2020,90,0,0,0,0,0
10/4/2020,95,0,0,0,0,0
10/11/2020,64,0,0,0,0,0
10/18/2020,59,0,0,0,0,0
10/25/2020,34,0,0,0,0,0
11/1/2020,44,0,0,0,0,0
11/8/2020,43,0,0,0,0,0
11/15/2020,67,0,0,0,0,0
11/22/2020,50,0,0,0,0,0
11/29/2020,56,0,0,0,0,0
12/6/2020,57,0,0,0,0,0
12/13/2020,58,0,0,0,0,0
12/20/2020,29,0,0,0,0,0
