date,WhatsApp,Zoom,Dingtalk,Lark,Hangouts Meet,Teams,Skype
12/1/2019,28,2,0,<1,0,2,1
12/8/2019,28,2,0,<1,0,2,1
12/15/2019,23,1,0,<1,0,2,1
12/22/2019,15,1,0,0,0,1,1
12/29/2019,17,1,0,0,0,1,1
1/5/2020,25,2,0,<1,0,2,1
1/12/2020,25,2,0,<1,0,2,1
1/19/2020,27,2,0,<1,0,2,1
1/26/2020,28,2,0,0,0,3,1
2/2/2020,28,2,<1,<1,0,2,1
2/9/2020,31,2,0,<1,0,3,1
2/16/2020,31,3,0,<1,0,2,1
2/23/2020,29,3,0,<1,0,3,1
3/1/2020,35,4,0,<1,<1,3,1
3/8/2020,34,12,0,<1,1,5,3
3/15/2020,48,42,0,<1,1,13,6
3/22/2020,55,60,0,<1,1,15,6
3/29/2020,55,68,0,0,1,13,4
4/5/2020,48,54,0,<1,1,11,3
4/12/2020,55,50,0,<1,1,14,3
4/19/2020,60,52,0,<1,1,15,3
4/26/2020,58,45,0,<1,<1,12,3
5/3/2020,64,39,0,<1,<1,12,2
5/10/2020,63,36,0,<1,<1,11,2
5/17/2020,59,33,0,<1,<1,9,2
5/24/2020,54,26,0,<1,<1,11,2
5/31/2020,61,27,0,<1,<1,9,2
6/7/2020,60,24,0,<1,<1,8,1
6/14/2020,59,21,0,0,<1,8,1
6/21/2020,58,21,0,0,0,7,1
6/28/2020,56,17,0,0,<1,6,1
7/5/2020,58,17,0,<1,0,6,1
7/12/2020,62,20,0,<1,0,6,1
7/19/2020,54,17,0,<1,0,6,1
7/26/2020,49,18,0,0,0,6,1
8/2/2020,54,22,0,<1,0,7,1
8/9/2020,58,29,0,<1,0,9,1
8/16/2020,60,42,0,<1,<1,11,1
8/23/2020,67,46,0,<1,<1,11,1
8/30/2020,74,51,0,<1,<1,13,1
9/6/2020,77,48,0,<1,<1,14,1
9/13/2020,75,41,0,<1,<1,13,1
9/20/2020,85,41,0,<1,<1,14,1
9/27/2020,81,31,0,<1,<1,14,1
10/4/2020,78,34,0,<1,<1,13,1
10/11/2020,67,24,0,<1,0,12,1
10/18/2020,69,23,0,<1,0,13,1
10/25/2020,66,22,0,<1,0,14,1
11/1/2020,61,19,0,<1,<1,12,1
11/8/2020,68,21,0,<1,0,12,1
11/15/2020,68,22,0,<1,0,14,1
11/22/2020,73,18,0,<1,0,11,1
11/29/2020,67,21,0,<1,0,10,1
12/6/2020,63,17,0,<1,0,10,1
12/13/2020,61,15,0,<1,0,10,1
12/20/2020,41,10,0,0,0,4,1
12/27/2020,34,7,0,<1,0,3,<1
1/3/2021,51,17,0,<1,<1,10,1
1/10/2021,65,22,0,<1,0,11,1
1/17/2021,69,21,0,<1,0,11,1
1/24/2021,61,21,0,<1,0,11,1
1/31/2021,64,20,0,<1,0,11,1
2/7/2021,66,20,0,0,0,11,1
2/14/2021,66,15,0,<1,0,9,1
2/21/2021,71,20,0,<1,0,11,1
2/28/2021,74,18,0,<1,0,11,1
3/7/2021,71,16,0,<1,0,10,1
3/14/2021,71,15,0,<1,0,9,1
3/21/2021,73,16,0,<1,0,10,1
3/28/2021,57,13,0,<1,0,7,1
4/4/2021,70,16,0,<1,0,9,1
4/11/2021,72,16,0,<1,0,9,1
4/18/2021,73,16,0,<1,0,9,1
4/25/2021,68,17,0,<1,0,9,1
5/2/2021,67,14,0,<1,0,8,1
5/9/2021,61,13,0,<1,0,8,<1
5/16/2021,67,13,0,<1,0,8,1
5/23/2021,70,13,0,<1,0,7,1
5/30/2021,69,12,0,0,0,7,1
6/6/2021,73,14,0,<1,0,7,<1
6/13/2021,76,11,0,<1,0,6,1
6/20/2021,73,12,0,<1,0,6,<1
6/27/2021,71,10,0,<1,0,5,<1
7/4/2021,67,10,0,0,0,5,<1
7/11/2021,68,11,0,<1,0,4,1
7/18/2021,56,9,0,<1,0,4,<1
7/25/2021,62,9,0,<1,0,5,<1
8/1/2021,73,9,0,<1,0,5,<1
8/8/2021,66,10,0,<1,0,5,<1
8/15/2021,67,10,0,<1,0,6,<1
8/22/2021,66,13,0,<1,0,7,<1
8/29/2021,74,15,0,<1,0,8,<1
9/5/2021,74,13,0,<1,0,9,1
9/12/2021,76,14,0,<1,0,9,1
9/19/2021,82,13,0,<1,0,9,1
9/26/2021,78,12,0,<1,0,9,<1
10/3/2021,100,12,0,<1,0,9,<1
10/10/2021,69,12,0,<1,0,8,<1
10/17/2021,74,12,0,<1,0,8,<1
10/24/2021,68,10,0,<1,0,7,<1
10/31/2021,59,10,0,<1,0,7,<1
11/7/2021,70,12,0,<1,0,8,<1
11/14/2021,69,10,0,<1,0,8,<1
11/21/2021,70,9,0,<1,0,7,<1
11/28/2021,68,10,0,<1,0,7,<1
12/5/2021,68,11,0,<1,0,7,<1
12/12/2021,62,10,0,0,0,7,<1
12/19/2021,50,6,0,0,0,5,<1
12/26/2021,41,4,0,<1,0,3,<1
1/2/2022,74,12,0,<1,0,8,<1
1/9/2022,80,15,0,0,0,8,1
1/16/2022,79,15,0,<1,0,8,1
1/23/2022,75,14,0,<1,0,8,<1
1/30/2022,85,14,0,<1,0,9,<1
2/6/2022,90,13,0,<1,0,9,1
2/13/2022,88,12,0,<1,0,8,<1
2/20/2022,84,11,0,<1,0,8,1
2/27/2022,78,11,0,<1,0,8,<1
3/6/2022,89,10,0,<1,0,8,<1
3/13/2022,81,10,0,<1,0,7,<1
3/20/2022,83,10,0,<1,0,7,<1
3/27/2022,87,10,0,<1,0,7,<1
4/3/2022,88,12,0,<1,0,7,1
4/10/2022,71,10,0,<1,0,6,<1
4/17/2022,79,10,0,<1,0,5,1
4/24/2022,80,10,0,<1,0,7,<1
5/1/2022,72,9,0,<1,0,6,<1
5/8/2022,84,10,0,<1,0,7,<1
5/15/2022,83,10,0,<1,0,7,<1
5/22/2022,82,9,0,<1,0,6,<1
5/29/2022,86,9,0,<1,0,6,1
6/5/2022,86,9,0,<1,0,6,<1
6/12/2022,82,9,0,<1,0,6,<1
6/19/2022,79,10,0,<1,0,5,<1
6/26/2022,81,8,0,<1,0,5,<1
7/3/2022,74,8,0,<1,0,4,<1
7/10/2022,76,8,0,<1,0,4,<1
7/17/2022,78,8,0,<1,0,5,<1
7/24/2022,75,8,0,<1,0,4,<1
7/31/2022,77,8,0,<1,0,5,<1
8/7/2022,72,8,0,<1,0,5,<1
8/14/2022,74,8,0,<1,0,6,<1
8/21/2022,87,9,0,<1,0,7,<1
8/28/2022,83,10,0,<1,0,7,<1
9/4/2022,79,9,0,<1,0,9,1
9/11/2022,83,10,0,<1,0,9,<1
9/18/2022,85,10,0,<1,0,8,<1
9/25/2022,83,10,<1,<1,0,8,<1
10/2/2022,78,9,0,<1,0,8,<1
10/9/2022,80,10,0,<1,0,7,<1
10/16/2022,82,9,0,<1,0,7,<1
10/23/2022,82,9,0,<1,0,7,<1
10/30/2022,80,10,0,<1,0,6,<1
11/6/2022,84,10,0,<1,0,7,<1
11/13/2022,82,10,0,<1,0,7,<1
11/20/2022,77,7,0,<1,0,6,<1
11/27/2022,73,9,0,<1,0,6,<1
12/4/2022,71,9,0,<1,0,6,<1
12/11/2022,74,8,0,<1,0,6,<1
12/18/2022,67,6,0,<1,0,4,<1
12/25/2022,55,4,0,<1,0,3,<1
1/1/2023,64,6,0,<1,0,5,<1
1/8/2023,72,9,0,<1,0,6,1
1/15/2023,75,9,0,<1,0,6,<1
1/22/2023,72,10,0,<1,0,6,<1
1/29/2023,77,9,<1,<1,0,6,1
2/5/2023,83,10,0,<1,0,6,<1
2/12/2023,84,9,0,<1,0,6,<1
2/19/2023,79,9,0,<1,<1,6,<1
2/26/2023,82,8,0,<1,0,7,<1
3/5/2023,91,9,0,<1,0,7,<1
3/12/2023,83,9,0,<1,0,6,<1
3/19/2023,81,9,0,<1,0,6,<1
3/26/2023,84,9,0,<1,0,6,<1
4/2/2023,71,8,0,<1,0,5,<1
4/9/2023,79,8,0,<1,0,6,<1
4/16/2023,74,8,0,<1,0,6,<1
4/23/2023,78,9,0,<1,0,6,<1
4/30/2023,78,8,0,<1,0,5,<1
