date,Brookings,Common Sense Education,Commonweatlh of Learning,Education Nation,EdSurge,Global Business Coalition for Education,Keep Learning Going,Koulu.me,Organisation internationale de la Francophonie,UNEVOC Resources,UNHCR
12/1/2019,45,0,0,33,0,0,0,0,0,0,16
12/8/2019,39,0,0,21,0,0,0,0,0,0,0
12/15/2019,32,0,0,25,0,0,0,0,0,0,0
12/22/2019,22,0,0,18,0,0,0,0,0,0,0
12/29/2019,27,0,0,0,0,0,0,0,0,0,0
1/5/2020,51,0,0,23,0,0,0,0,0,0,0
1/12/2020,41,0,0,0,0,0,0,0,0,0,15
1/19/2020,59,0,0,18,0,0,0,0,0,0,0
1/26/2020,43,18,0,0,0,0,0,0,0,0,0
2/2/2020,50,0,0,38,0,0,0,0,0,0,0
2/9/2020,45,18,0,25,0,0,0,0,0,0,0
2/16/2020,49,0,0,20,0,0,0,0,0,0,0
2/23/2020,49,0,0,18,0,0,0,0,0,0,0
3/1/2020,44,25,0,24,0,0,0,0,0,0,0
3/8/2020,60,17,0,15,0,0,0,0,0,0,17
3/15/2020,31,0,0,0,0,0,0,0,0,0,0
3/22/2020,32,16,0,16,0,0,0,0,0,0,14
3/29/2020,41,18,0,14,0,0,0,0,0,0,0
4/5/2020,34,0,0,23,0,0,0,0,0,0,15
4/12/2020,33,0,0,16,0,0,0,0,0,0,0
4/19/2020,36,15,0,22,0,0,0,0,0,0,0
4/26/2020,44,0,0,19,0,0,0,0,0,0,0
5/3/2020,30,0,0,23,0,0,0,0,0,0,0
5/10/2020,27,15,0,26,0,0,0,0,0,0,0
5/17/2020,26,20,0,36,0,0,0,0,0,0,0
5/24/2020,28,0,0,0,0,0,0,0,0,0,0
5/31/2020,29,0,0,23,0,0,0,0,0,0,0
6/7/2020,27,0,0,20,0,0,0,0,0,0,0
6/14/2020,31,0,0,0,0,0,0,0,0,0,0
6/21/2020,24,19,0,17,0,0,0,0,0,0,0
6/28/2020,20,0,0,0,0,0,0,0,0,0,0
7/5/2020,28,0,0,0,0,0,0,0,0,0,0
7/12/2020,37,0,0,0,0,0,0,0,0,0,0
7/19/2020,21,0,0,17,0,0,0,0,0,0,0
7/26/2020,32,0,0,34,0,0,0,0,0,0,0
8/2/2020,26,21,0,21,0,0,0,0,0,0,0
8/9/2020,38,32,0,0,0,0,0,0,0,0,0
8/16/2020,54,28,0,25,0,0,0,0,0,0,0
8/23/2020,59,40,0,0,0,0,0,0,0,0,0
8/30/2020,30,23,0,24,0,0,0,0,0,0,0
9/6/2020,41,21,0,17,0,0,0,0,0,0,0
9/13/2020,60,18,0,20,0,0,0,0,0,0,0
9/20/2020,48,0,0,22,0,0,0,0,0,0,0
9/27/2020,27,0,0,0,0,0,0,0,0,0,0
10/4/2020,18,0,0,23,0,0,0,0,0,0,0
10/11/2020,34,0,16,0,0,0,0,0,0,0,0
10/18/2020,30,0,0,25,0,0,0,0,0,0,0
10/25/2020,33,0,0,15,0,0,0,0,0,0,0
11/1/2020,38,0,0,25,0,0,0,0,0,0,0
11/8/2020,37,0,0,24,0,0,0,0,0,0,0
11/15/2020,32,0,0,0,0,0,0,0,0,0,0
11/22/2020,32,0,0,21,0,0,0,0,0,0,0
11/29/2020,38,17,0,20,0,0,0,0,0,0,0
12/6/2020,21,0,0,0,0,0,0,0,0,0,0
12/13/2020,28,0,0,16,0,0,0,0,0,0,0
12/20/2020,17,0,0,0,0,0,0,0,0,0,0
12/27/2020,28,0,0,0,0,0,0,0,0,0,0
1/3/2021,39,0,0,0,0,0,0,0,0,0,0
1/10/2021,34,0,0,21,32,0,0,0,0,0,16
1/17/2021,35,0,0,27,0,0,0,0,0,0,0
1/24/2021,41,0,0,24,0,0,0,0,0,0,0
1/31/2021,42,0,0,24,0,0,0,0,0,0,0
2/7/2021,38,0,0,0,0,0,0,0,0,0,0
2/14/2021,21,0,0,18,0,0,0,0,0,0,0
2/21/2021,47,0,0,22,0,0,0,0,0,0,16
2/28/2021,33,0,0,20,0,0,0,0,0,0,0
3/7/2021,45,0,0,18,0,0,0,0,0,0,0
3/14/2021,35,0,0,16,0,0,0,0,15,0,0
3/21/2021,41,0,0,26,0,0,0,0,0,0,0
3/28/2021,26,0,0,19,0,0,0,0,0,0,0
4/4/2021,42,0,0,31,0,0,0,0,0,0,0
4/11/2021,28,0,0,0,0,0,0,0,0,0,16
4/18/2021,31,0,0,0,0,0,0,0,0,0,0
4/25/2021,49,0,0,18,0,0,0,0,0,0,0
5/2/2021,42,0,0,0,0,0,0,0,0,0,0
5/9/2021,22,0,0,0,0,0,0,0,0,0,0
5/16/2021,40,0,0,0,0,0,0,0,0,0,0
5/23/2021,25,0,0,27,0,0,0,0,0,0,0
5/30/2021,0,0,0,0,0,0,0,0,0,0,0
6/6/2021,0,0,0,0,0,0,0,0,0,0,0
6/13/2021,21,0,0,16,0,0,0,0,0,0,0
6/20/2021,31,0,0,0,0,0,0,0,0,0,0
6/27/2021,23,0,0,0,0,0,0,0,0,0,0
7/4/2021,30,0,0,0,0,0,0,0,0,0,0
7/11/2021,27,0,0,0,0,0,0,0,0,0,0
7/18/2021,24,0,0,0,0,0,0,0,0,0,0
7/25/2021,33,0,0,0,0,0,0,0,0,0,0
8/1/2021,25,0,0,16,0,0,0,0,0,0,0
8/8/2021,24,0,0,17,0,0,0,0,0,0,0
8/15/2021,37,0,0,0,0,0,0,0,0,0,0
8/22/2021,42,0,0,37,0,0,0,0,0,0,0
