date,Education,All
12/1/2019,0,7
12/8/2019,0,5
12/15/2019,0,4
12/22/2019,0,0
12/29/2019,0,4
1/5/2020,0,7
1/12/2020,0,6
1/19/2020,0,6
1/26/2020,0,8
2/2/2020,0,8
2/9/2020,0,6
2/16/2020,0,9
2/23/2020,0,7
3/1/2020,0,5
3/8/2020,0,8
3/15/2020,0,6
3/22/2020,0,10
3/29/2020,0,9
4/5/2020,0,10
4/12/2020,0,11
4/19/2020,0,9
4/26/2020,0,10
5/3/2020,0,9
5/10/2020,0,7
5/17/2020,0,8
5/24/2020,0,13
5/31/2020,0,10
6/7/2020,0,9
6/14/2020,0,9
6/21/2020,0,10
6/28/2020,0,11
7/5/2020,0,8
7/12/2020,0,16
7/19/2020,0,13
7/26/2020,0,11
8/2/2020,42,62
8/9/2020,0,11
8/16/2020,0,8
8/23/2020,0,12
8/30/2020,0,11
9/6/2020,0,11
9/13/2020,0,12
9/20/2020,0,15
9/27/2020,0,15
10/4/2020,0,18
10/11/2020,0,11
10/18/2020,0,13
10/25/2020,0,13
11/1/2020,0,10
11/8/2020,0,10
11/15/2020,0,8
11/22/2020,0,9
11/29/2020,0,10
12/6/2020,0,11
12/13/2020,0,10
12/20/2020,0,4
12/27/2020,0,4
1/3/2021,0,6
1/10/2021,0,7
1/17/2021,0,9
1/24/2021,0,7
1/31/2021,0,8
2/7/2021,0,9
2/14/2021,0,11
2/21/2021,0,11
2/28/2021,0,10
3/7/2021,0,9
3/14/2021,0,9
3/21/2021,0,11
3/28/2021,0,8
4/4/2021,0,8
4/11/2021,0,11
4/18/2021,0,10
4/25/2021,0,9
5/2/2021,0,7
5/9/2021,0,7
5/16/2021,0,9
5/23/2021,0,7
5/30/2021,0,10
6/6/2021,0,11
6/13/2021,0,6
6/20/2021,0,8
6/27/2021,29,6
7/4/2021,0,7
7/11/2021,0,8
7/18/2021,0,6
7/25/2021,0,7
8/1/2021,0,9
8/8/2021,0,8
8/15/2021,0,8
8/22/2021,0,9
8/29/2021,0,9
9/5/2021,0,8
9/12/2021,0,12
9/19/2021,0,13
9/26/2021,0,10
10/3/2021,0,9
10/10/2021,0,11
10/17/2021,0,13
10/24/2021,0,11
10/31/2021,0,9
11/7/2021,0,14
11/14/2021,0,12
11/21/2021,0,12
11/28/2021,0,12
12/5/2021,0,12
12/12/2021,0,8
12/19/2021,0,5
12/26/2021,0,4
1/2/2022,0,9
1/9/2022,0,11
1/16/2022,0,9
1/23/2022,0,13
1/30/2022,28,14
2/6/2022,0,12
2/13/2022,0,17
2/20/2022,0,17
2/27/2022,0,13
3/6/2022,0,18
3/13/2022,0,21
3/20/2022,0,16
3/27/2022,0,16
4/3/2022,0,29
4/10/2022,0,16
4/17/2022,0,14
4/24/2022,0,15
5/1/2022,0,12
5/8/2022,0,13
5/15/2022,0,13
5/22/2022,0,12
5/29/2022,0,15
6/5/2022,0,12
6/12/2022,0,13
6/19/2022,0,11
6/26/2022,0,10
7/3/2022,0,10
7/10/2022,0,9
7/17/2022,0,10
7/24/2022,0,12
7/31/2022,0,12
8/7/2022,0,25
8/14/2022,46,51
8/21/2022,100,100
8/28/2022,0,34
9/4/2022,0,20
9/11/2022,0,18
9/18/2022,0,15
9/25/2022,0,16
10/2/2022,0,18
10/9/2022,0,14
10/16/2022,0,15
10/23/2022,0,14
10/30/2022,0,18
11/6/2022,0,13
11/13/2022,0,13
11/20/2022,0,10
11/27/2022,0,13
12/4/2022,0,12
12/11/2022,0,12
12/18/2022,0,11
12/25/2022,0,3
1/1/2023,0,7
1/8/2023,0,7
1/15/2023,0,9
1/22/2023,0,12
1/29/2023,0,12
2/5/2023,0,14
2/12/2023,0,13
2/19/2023,0,15
2/26/2023,0,14
3/5/2023,0,11
3/12/2023,0,12
3/19/2023,0,11
3/26/2023,0,15
4/2/2023,0,12
4/9/2023,0,15
4/16/2023,0,13
4/23/2023,0,10
4/30/2023,0,15
5/7/2023,0,16
5/14/2023,0,11
5/21/2023,0,12
5/28/2023,0,9
6/4/2023,0,10
6/11/2023,0,11
6/18/2023,0,11
6/25/2023,0,11
7/2/2023,0,11
7/9/2023,0,13
7/16/2023,0,13
7/23/2023,0,10
7/30/2023,0,13
8/6/2023,31,11
8/13/2023,0,10
8/20/2023,0,13
8/27/2023,0,20
9/3/2023,0,12
9/10/2023,0,14
9/17/2023,0,13
9/24/2023,0,12
10/1/2023,0,15
10/8/2023,0,14
10/15/2023,0,14
10/22/2023,0,15
10/29/2023,0,13
11/5/2023,0,15
11/12/2023,0,10
11/19/2023,0,12
11/26/2023,0,12
12/3/2023,0,13
12/10/2023,0,9
12/17/2023,0,7
12/24/2023,0,6
12/31/2023,0,6
1/7/2024,0,8
1/14/2024,0,11
1/21/2024,0,13
1/28/2024,0,11
2/4/2024,0,14
2/11/2024,0,11
2/18/2024,0,12
2/25/2024,0,13
3/3/2024,0,14
3/10/2024,0,13
3/17/2024,0,14
3/24/2024,0,11
3/31/2024,0,16
4/7/2024,0,9
4/14/2024,0,13
4/21/2024,0,14
4/28/2024,2,13
