"","date","hits","keyword","geo","time","gprop","category"
"1",2019-12-01,"1","Zoom","LK","2019-12-01 2021-08-15","web",0
"2",2019-12-08,"1","Zoom","LK","2019-12-01 2021-08-15","web",0
"3",2019-12-15,"2","Zoom","LK","2019-12-01 2021-08-15","web",0
"4",2019-12-22,"2","Zoom","LK","2019-12-01 2021-08-15","web",0
"5",2019-12-29,"2","Zoom","LK","2019-12-01 2021-08-15","web",0
"6",2020-01-05,"2","Zoom","LK","2019-12-01 2021-08-15","web",0
"7",2020-01-12,"2","Zoom","LK","2019-12-01 2021-08-15","web",0
"8",2020-01-19,"2","Zoom","LK","2019-12-01 2021-08-15","web",0
"9",2020-01-26,"2","Zoom","LK","2019-12-01 2021-08-15","web",0
"10",2020-02-02,"2","Zoom","LK","2019-12-01 2021-08-15","web",0
"11",2020-02-09,"2","Zoom","LK","2019-12-01 2021-08-15","web",0
"12",2020-02-16,"1","Zoom","LK","2019-12-01 2021-08-15","web",0
"13",2020-02-23,"1","Zoom","LK","2019-12-01 2021-08-15","web",0
"14",2020-03-01,"1","Zoom","LK","2019-12-01 2021-08-15","web",0
"15",2020-03-08,"2","Zoom","LK","2019-12-01 2021-08-15","web",0
"16",2020-03-15,"3","Zoom","LK","2019-12-01 2021-08-15","web",0
"17",2020-03-22,"7","Zoom","LK","2019-12-01 2021-08-15","web",0
"18",2020-03-29,"8","Zoom","LK","2019-12-01 2021-08-15","web",0
"19",2020-04-05,"9","Zoom","LK","2019-12-01 2021-08-15","web",0
"20",2020-04-12,"9","Zoom","LK","2019-12-01 2021-08-15","web",0
"21",2020-04-19,"12","Zoom","LK","2019-12-01 2021-08-15","web",0
"22",2020-04-26,"14","Zoom","LK","2019-12-01 2021-08-15","web",0
"23",2020-05-03,"14","Zoom","LK","2019-12-01 2021-08-15","web",0
"24",2020-05-10,"18","Zoom","LK","2019-12-01 2021-08-15","web",0
"25",2020-05-17,"16","Zoom","LK","2019-12-01 2021-08-15","web",0
"26",2020-05-24,"16","Zoom","LK","2019-12-01 2021-08-15","web",0
"27",2020-05-31,"18","Zoom","LK","2019-12-01 2021-08-15","web",0
"28",2020-06-07,"13","Zoom","LK","2019-12-01 2021-08-15","web",0
"29",2020-06-14,"13","Zoom","LK","2019-12-01 2021-08-15","web",0
"30",2020-06-21,"10","Zoom","LK","2019-12-01 2021-08-15","web",0
"31",2020-06-28,"8","Zoom","LK","2019-12-01 2021-08-15","web",0
"32",2020-07-05,"7","Zoom","LK","2019-12-01 2021-08-15","web",0
"33",2020-07-12,"10","Zoom","LK","2019-12-01 2021-08-15","web",0
"34",2020-07-19,"10","Zoom","LK","2019-12-01 2021-08-15","web",0
"35",2020-07-26,"8","Zoom","LK","2019-12-01 2021-08-15","web",0
