"","date","hits","keyword","geo","time","gprop","category"
"1",2019-12-01,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"2",2019-12-08,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"3",2019-12-15,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"4",2019-12-22,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"5",2019-12-29,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"6",2020-01-05,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"7",2020-01-12,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"8",2020-01-19,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"9",2020-01-26,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"10",2020-02-02,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"11",2020-02-09,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"12",2020-02-16,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"13",2020-02-23,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"14",2020-03-01,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"15",2020-03-08,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"16",2020-03-15,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"17",2020-03-22,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"18",2020-03-29,11,"Zoom","LK","2019-12-01 2021-08-15","web",74
"19",2020-04-05,11,"Zoom","LK","2019-12-01 2021-08-15","web",74
"20",2020-04-12,11,"Zoom","LK","2019-12-01 2021-08-15","web",74
"21",2020-04-19,33,"Zoom","LK","2019-12-01 2021-08-15","web",74
"22",2020-04-26,43,"Zoom","LK","2019-12-01 2021-08-15","web",74
"23",2020-05-03,33,"Zoom","LK","2019-12-01 2021-08-15","web",74
"24",2020-05-10,55,"Zoom","LK","2019-12-01 2021-08-15","web",74
"25",2020-05-17,44,"Zoom","LK","2019-12-01 2021-08-15","web",74
"26",2020-05-24,22,"Zoom","LK","2019-12-01 2021-08-15","web",74
"27",2020-05-31,11,"Zoom","LK","2019-12-01 2021-08-15","web",74
"28",2020-06-07,11,"Zoom","LK","2019-12-01 2021-08-15","web",74
"29",2020-06-14,32,"Zoom","LK","2019-12-01 2021-08-15","web",74
"30",2020-06-21,11,"Zoom","LK","2019-12-01 2021-08-15","web",74
"31",2020-06-28,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"32",2020-07-05,44,"Zoom","LK","2019-12-01 2021-08-15","web",74
"33",2020-07-12,32,"Zoom","LK","2019-12-01 2021-08-15","web",74
"34",2020-07-19,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"35",2020-07-26,11,"Zoom","LK","2019-12-01 2021-08-15","web",74
"36",2020-08-02,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"37",2020-08-09,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"38",2020-08-16,11,"Zoom","LK","2019-12-01 2021-08-15","web",74
"39",2020-08-23,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"40",2020-08-30,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"41",2020-09-06,22,"Zoom","LK","2019-12-01 2021-08-15","web",74
"42",2020-09-13,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"43",2020-09-20,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"44",2020-09-27,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"45",2020-10-04,42,"Zoom","LK","2019-12-01 2021-08-15","web",74
"46",2020-10-11,53,"Zoom","LK","2019-12-01 2021-08-15","web",74
"47",2020-10-18,43,"Zoom","LK","2019-12-01 2021-08-15","web",74
"48",2020-10-25,64,"Zoom","LK","2019-12-01 2021-08-15","web",74
"49",2020-11-01,31,"Zoom","LK","2019-12-01 2021-08-15","web",74
"50",2020-11-08,43,"Zoom","LK","2019-12-01 2021-08-15","web",74
"51",2020-11-15,32,"Zoom","LK","2019-12-01 2021-08-15","web",74
"52",2020-11-22,11,"Zoom","LK","2019-12-01 2021-08-15","web",74
"53",2020-11-29,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"54",2020-12-06,22,"Zoom","LK","2019-12-01 2021-08-15","web",74
"55",2020-12-13,33,"Zoom","LK","2019-12-01 2021-08-15","web",74
"56",2020-12-20,45,"Zoom","LK","2019-12-01 2021-08-15","web",74
"57",2020-12-27,11,"Zoom","LK","2019-12-01 2021-08-15","web",74
"58",2021-01-03,21,"Zoom","LK","2019-12-01 2021-08-15","web",74
"59",2021-01-10,33,"Zoom","LK","2019-12-01 2021-08-15","web",74
"60",2021-01-17,11,"Zoom","LK","2019-12-01 2021-08-15","web",74
"61",2021-01-24,11,"Zoom","LK","2019-12-01 2021-08-15","web",74
"62",2021-01-31,46,"Zoom","LK","2019-12-01 2021-08-15","web",74
"63",2021-02-07,34,"Zoom","LK","2019-12-01 2021-08-15","web",74
"64",2021-02-14,33,"Zoom","LK","2019-12-01 2021-08-15","web",74
"65",2021-02-21,12,"Zoom","LK","2019-12-01 2021-08-15","web",74
"66",2021-02-28,34,"Zoom","LK","2019-12-01 2021-08-15","web",74
"67",2021-03-07,11,"Zoom","LK","2019-12-01 2021-08-15","web",74
"68",2021-03-14,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"69",2021-03-21,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"70",2021-03-28,0,"Zoom","LK","2019-12-01 2021-08-15","web",74
"71",2021-04-04,12,"Zoom","LK","2019-12-01 2021-08-15","web",74
"72",2021-04-11,13,"Zoom","LK","2019-12-01 2021-08-15","web",74
"73",2021-04-18,11,"Zoom","LK","2019-12-01 2021-08-15","web",74
"74",2021-04-25,21,"Zoom","LK","2019-12-01 2021-08-15","web",74
"75",2021-05-02,30,"Zoom","LK","2019-12-01 2021-08-15","web",74
"76",2021-05-09,41,"Zoom","LK","2019-12-01 2021-08-15","web",74
"77",2021-05-16,51,"Zoom","LK","2019-12-01 2021-08-15","web",74
"78",2021-05-23,53,"Zoom","LK","2019-12-01 2021-08-15","web",74
"79",2021-05-30,40,"Zoom","LK","2019-12-01 2021-08-15","web",74
"80",2021-06-06,10,"Zoom","LK","2019-12-01 2021-08-15","web",74
"81",2021-06-13,51,"Zoom","LK","2019-12-01 2021-08-15","web",74
"82",2021-06-20,50,"Zoom","LK","2019-12-01 2021-08-15","web",74
"83",2021-06-27,20,"Zoom","LK","2019-12-01 2021-08-15","web",74
"84",2021-07-04,49,"Zoom","LK","2019-12-01 2021-08-15","web",74
"85",2021-07-11,10,"Zoom","LK","2019-12-01 2021-08-15","web",74
"86",2021-07-18,31,"Zoom","LK","2019-12-01 2021-08-15","web",74
"87",2021-07-25,31,"Zoom","LK","2019-12-01 2021-08-15","web",74
"88",2021-08-01,32,"Zoom","LK","2019-12-01 2021-08-15","web",74
"89",2021-08-08,12,"Zoom","LK","2019-12-01 2021-08-15","web",74
"90",2019-12-01,0,"Dingtalk","LK","2019-12-01 2021-08-15","web",74
"91",2019-12-08,0,"Dingtalk","LK","2019-12-01 2021-08-15","web",74
"92",2019-12-15,0,"Dingtalk","LK","2019-12-01 2021-08-15","web",74
"93",2019-12-22,0,"Dingtalk","LK","2019-12-01 2021-08-15","web",74
"94",2019-12-29,0,"Dingtalk","LK","2019-12-01 2021-08-15","web",74
