"","date","hits","keyword","geo","time","gprop","category"
"1",2019-12-01,5,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"2",2019-12-08,7,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"3",2019-12-15,9,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"4",2019-12-22,0,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"5",2019-12-29,0,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"6",2020-01-05,7,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"7",2020-01-12,11,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"8",2020-01-19,2,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"9",2020-01-26,9,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"10",2020-02-02,22,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"11",2020-02-09,9,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"12",2020-02-16,4,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"13",2020-02-23,9,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"14",2020-03-01,2,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"15",2020-03-08,8,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"16",2020-03-15,19,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"17",2020-03-22,6,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"18",2020-03-29,20,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"19",2020-04-05,24,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"20",2020-04-12,16,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"21",2020-04-19,6,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"22",2020-04-26,22,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"23",2020-05-03,20,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"24",2020-05-10,22,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"25",2020-05-17,16,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"26",2020-05-24,23,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"27",2020-05-31,12,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"28",2020-06-07,22,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"29",2020-06-14,27,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"30",2020-06-21,13,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"31",2020-06-28,19,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"32",2020-07-05,21,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"33",2020-07-12,41,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"34",2020-07-19,18,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"35",2020-07-26,29,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"36",2020-08-02,100,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"37",2020-08-09,19,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"38",2020-08-16,13,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"39",2020-08-23,23,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"40",2020-08-30,13,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"41",2020-09-06,19,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"42",2020-09-13,40,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"43",2020-09-20,24,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"44",2020-09-27,23,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"45",2020-10-04,41,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"46",2020-10-11,16,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"47",2020-10-18,16,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"48",2020-10-25,16,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"49",2020-11-01,12,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"50",2020-11-08,11,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"51",2020-11-15,15,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"52",2020-11-22,13,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"53",2020-11-29,13,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"54",2020-12-06,27,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"55",2020-12-13,27,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"56",2020-12-20,7,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"57",2020-12-27,5,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"58",2021-01-03,9,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"59",2021-01-10,15,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"60",2021-01-17,24,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"61",2021-01-24,31,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"62",2021-01-31,15,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"63",2021-02-07,11,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"64",2021-02-14,22,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"65",2021-02-21,11,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"66",2021-02-28,18,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"67",2021-03-07,13,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"68",2021-03-14,14,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"69",2021-03-21,11,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"70",2021-03-28,16,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"71",2021-04-04,18,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"72",2021-04-11,13,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"73",2021-04-18,15,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"74",2021-04-25,13,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"75",2021-05-02,7,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"76",2021-05-09,20,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"77",2021-05-16,16,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"78",2021-05-23,14,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"79",2021-05-30,23,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"80",2021-06-06,20,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"81",2021-06-13,18,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"82",2021-06-20,14,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"83",2021-06-27,14,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"84",2021-07-04,9,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"85",2021-07-11,9,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"86",2021-07-18,7,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"87",2021-07-25,16,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"88",2021-08-01,2,"psychosocial support","world","2019-12-01 2021-08-15","web",0
"89",2021-08-08,16,"psychosocial support","world","2019-12-01 2021-08-15","web",0
