"","subject","related_queries","value","geo","category"
"1","100","top","kelaniya external","LK",367
"2","89","top","external degree kelaniya","LK",367
"3","84","top","kelaniya university","LK",367
"4","78","top","kelaniya university external","LK",367
"5","70","top","e learning","LK",367
"6","69","top","kelaniya university external degree","LK",367
"7","52","top","university of kelaniya","LK",367
"8","40","top","university of kelaniya external","LK",367
"9","37","top","external degree university of kelaniya","LK",367
"10","32","top","open university","LK",367
"11","27","top","elearn","LK",367
"12","27","top","jayawardenapura university external degree","LK",367
"13","23","top","phoenix","LK",367
"14","15","top","dp education","LK",367
"15","15","top","sipmuthu.lk e learning","LK",367
"16","15","top","phoenix os","LK",367
"17","14","top","elearning","LK",367
"18","13","top","ca student login","LK",367
"19","13","top","kelaniya university external degree 2020","LK",367
"20","11","top","elearn login","LK",367
"21","10","top","open university nawala","LK",367
"22","10","top","rad","LK",367
"23","10","top","ca sri lanka student login","LK",367
"24","10","top","dp education grade 9","LK",367
"25","10","top","jayawardenapura university external degree 2020","LK",367
"26","Breakout","rising","dp education","LK",367
"27","Breakout","rising","sipmuthu.lk e learning","LK",367
"28","Breakout","rising","kelaniya university external degree 2020","LK",367
"29","Breakout","rising","ca sri lanka student login","LK",367
"30","Breakout","rising","dp education grade 9","LK",367
"31","Breakout","rising","jayawardenapura university external degree 2020","LK",367
"32","Breakout","rising","rusl e learning","LK",367
"33","Breakout","rising","podi bala sena","LK",367
"34","Breakout","rising","dp education grade 6","LK",367
"35","Breakout","rising","jayawardenapura university external degree 2021","LK",367
"36","Breakout","rising","turnitin login","LK",367
"37","Breakout","rising","leedshybrid.lk student login","LK",367
"38","Breakout","rising","kelaniya university external degree 2021","LK",367
"39","Breakout","rising","apex online learning","LK",367
"40","Breakout","rising","susipwan e learning","LK",367
"41","Breakout","rising","arts.pdn.ac.lk e learning","LK",367
"42","Breakout","rising","susipwan online learning","LK",367
"43","Breakout","rising","www.kelani.lk student login","LK",367
"44","Breakout","rising","dp education grade 7","LK",367
"45","Breakout","rising","university of ruhuna external degree","LK",367
"46","Breakout","rising","math mal sena chords","LK",367
"47","Breakout","rising","susipvan e learning","LK",367
"48","Breakout","rising","oki student portal login","LK",367
"49","Breakout","rising","www.gurumandala.lk student login","LK",367
"50","Breakout","rising","imbs student login","LK",367
