"","subject","related_queries","value","category"
"1","100","top","kết quả xổ số",367
"2","100","top","số kết quả",367
"3","98","top","aula virtual",367
"4","86","top","sena",367
"5","76","top","elearning",367
"6","67","top","student login",367
"7","63","top","kurs",367
"8","53","top","ket",367
"9","53","top","estacio",367
"10","42","top","d2l",367
"11","41","top","kết quả xổ số miền bắc",367
"12","39","top","phoenix",367
"13","37","top","kurs bitcoin",367
"14","34","top","e learning",367
"15","34","top","sena sofia",367
"16","34","top","ead",367
"17","26","top","estacio sia",367
"18","25","top","pela",367
"19","24","top","unopar",367
"20","23","top","sofia plus sena",367
"21","22","top","sofia plus",367
"22","22","top","rad",367
"23","21","top","student portal",367
"24","21","top","blackboard",367
"25","18","top","kết quả xổ số miền bắc hôm nay",367
"26","Breakout","rising","sena territorium",367
"27","Breakout","rising","jadwal piala menpora",367
"28","Breakout","rising","elearning 2 unp",367
"29","Breakout","rising","territorio sena",367
"30","Breakout","rising","זום משרד החינוך",367
"31","Breakout","rising","jadwal piala menpora 2021",367
"32","Breakout","rising","rndcoin 무료 강의",367
"33","+4,950%","rising","ket qua euro",367
"34","+4,600%","rising","hasil piala menpora",367
"35","+3,500%","rising","e learning unimal",367
"36","+3,350%","rising","lms ut ac id",367
"37","+3,250%","rising","virtual class unkhair",367
"38","+2,500%","rising","aula virtual uninorte",367
"39","+2,200%","rising","dogecoin kurs",367
"40","+2,050%","rising","elearning unwira",367
"41","+2,000%","rising","campus virtual uach",367
"42","+1,900%","rising","بوابه التعلم الذكي",367
"43","+1,700%","rising","blog do sena",367
"44","+1,600%","rising","العمل عن بعد",367
"45","+1,550%","rising","dg shipping e learning",367
"46","+1,150%","rising","elearning unifg",367
"47","+1,050%","rising","elearning warmadewa",367
"48","+950%","rising","elearning unpak",367
"49","+900%","rising","e learning warmadewa",367
"50","+850%","rising","sjc elearning",367
