"","subject","related_queries","value","geo","category"
"1","100","top","school","LK",74
"2","87","top","lk","LK",74
"3","72","top","exam","LK",74
"4","69","top","past papers","LK",74
"5","62","top","education","LK",74
"6","47","top","google","LK",74
"7","35","top","test","LK",74
"8","35","top","classroom","LK",74
"9","32","top",".lk","LK",74
"10","30","top","google classroom","LK",74
"11","26","top","kelaniya university","LK",74
"12","26","top","e thaksalawa","LK",74
"13","24","top","ousl","LK",74
"14","23","top","open university","LK",74
"15","22","top","nawaloka","LK",74
"16","22","top","ielts","LK",74
"17","21","top","university of kelaniya","LK",74
"18","20","top","asiri hospital","LK",74
"19","18","top","nawaloka hospital","LK",74
"20","17","top","exam results","LK",74
"21","17","top","colombo university","LK",74
"22","16","top","education department","LK",74
"23","16","top","class","LK",74
"24","14","top","nibm","LK",74
"25","13","top","master","LK",74
"26","Breakout","rising","www.apexonline. lk","LK",74
"27","Breakout","rising","cut off marks 2020","LK",74
"28","Breakout","rising","saruwata lk","LK",74
"29","Breakout","rising","dp education","LK",74
"30","Breakout","rising","www.daraz .lk","LK",74
"31","Breakout","rising","nibm worldwide","LK",74
"32","Breakout","rising","sipmuthu lk","LK",74
"33","Breakout","rising","susipwan lk","LK",74
"34","Breakout","rising","susipvan lk","LK",74
"35","Breakout","rising","sipmuthu.lk e learning","LK",74
"36","Breakout","rising","www.apex online. lk","LK",74
"37","Breakout","rising","scholarship exam result 2020","LK",74
"38","Breakout","rising","www.enenapiyasa.lk grade 5","LK",74
"39","+4,800%","rising","iasonline lk","LK",74
"40","+4,750%","rising","gce al results 2020","LK",74
"41","+4,550%","rising","iskole teledrama","LK",74
"42","+4,400%","rising","www.brightway. lk","LK",74
"43","+4,300%","rising","master masstamilan","LK",74
"44","+4,150%","rising","imbs campus","LK",74
"45","+3,850%","rising","ඉක්මන්. lk","LK",74
"46","+3,700%","rising","www.sipwin online .lk","LK",74
"47","+3,600%","rising","wishwin. lk","LK",74
"48","+3,200%","rising","www.yasodaradevibalika.edu.lk self study","LK",74
"49","+3,150%","rising","the first lk","LK",74
"50","+3,150%","rising","nalanda college unit test papers","LK",74
