"","subject","related_queries","value","category"
"1","100","top","school",74
"2","93","top","classroom",74
"3","75","top","google",74
"4","61","top","classroom google",74
"5","25","top","test",74
"6","15","top","education",74
"7","15","top","مدرستي",74
"8","12","top","facebook",74
"9","11","top","cbse",74
"10","9","top","librus",74
"11","9","top","elementary",74
"12","8","top","moodle",74
"13","8","top","aula",74
"14","7","top","youtube",74
"15","7","top","academy",74
"16","6","top","corona",74
"17","6","top","blackboard",74
"18","5","top","facebook entrar",74
"19","5","top","mba",74
"20","5","top","whatsapp",74
"21","5","top","gmail",74
"22","5","top","e okul",74
"23","5","top","aula virtual",74
"24","4","top","ielts",74
"25","4","top","enem",74
"26","Breakout","rising","مدرستي",74
"27","Breakout","rising","coronavirus",74
"28","Breakout","rising","منصه مدرستي",74
"29","Breakout","rising","corona",74
"30","+5,000%","rising","cbse result 2020",74
"31","+3,300%","rising","ssc result 2020",74
"32","+3,000%","rising","vacances scolaires 2021",74
"33","+2,850%","rising","google meet",74
"34","+2,450%","rising","elliot page",74
"35","+2,250%","rising","منصتي مدرستي",74
"36","+2,200%","rising","gme",74
"37","+1,500%","rising","autorisation de sortie",74
"38","+1,300%","rising","encceja 2021",74
"39","+1,250%","rising","zoom",74
"40","+1,200%","rising","disneyplus.com begin",74
"41","+1,150%","rising","aules",74
"42","+1,100%","rising","sattamatkà result",74
"43","+1,050%","rising","covid test near me",74
"44","+900%","rising","uasd virtual",74
"45","+700%","rising","google sala de aula",74
"46","+550%","rising","منظومة التعليم الموحد",74
"47","+550%","rising","johns hopkins covid map",74
"48","+550%","rising","paco el chato",74
"49","+350%","rising","بلاك بورد",74
"50","+350%","rising","rice purity test",74
