"","subject","related_topics","value","geo","category"
"1","100","top","Academic degree","LK",367
"2","98","top","University","LK",367
"3","79","top","External degree","LK",367
"4","52","top","University of Kelaniya - Sri Lanka","LK",367
"5","40","top","E-Learning","LK",367
"6","26","top","Student","LK",367
"7","23","top","Sri Lanka","LK",367
"8","16","top","The Open University of Sri Lanka","LK",367
"9","16","top","Education","LK",367
"10","15","top","The Open University","LK",367
"11","14","top","External Degrees and Extension Courses Unit-University of Sri Jayewardenepura","LK",367
"12","13","top","Higher National Diploma","LK",367
"13","12","top","The Open University","LK",367
"14","12","top","Course","LK",367
"15","12","top","Learning","LK",367
"16","11","top","Kelaniya","LK",367
"17","10","top","Sri Jayawardenepura Kotte","LK",367
"18","10","top","University of Sri Jayewardenepura","LK",367
"19","10","top","Engineering","LK",367
"20","9","top","learning","LK",367
"21","9","top","Learning management system","LK",367
"22","9","top","2020","LK",367
"23","8","top","2021","LK",367
"24","8","top","Bachelor of Science","LK",367
"25","7","top","Operating system","LK",367
"26","Breakout","rising","2021","LK",367
"27","Breakout","rising","Sixth grade","LK",367
"28","Breakout","rising","Susipvan Higher Education Center","LK",367
"29","Breakout","rising","Seventh grade","LK",367
"30","Breakout","rising","Ninth grade","LK",367
"31","Breakout","rising","Apex Learning","LK",367
"32","Breakout","rising","Bachelor of Laws","LK",367
"33","Breakout","rising","Data","LK",367
"34","Breakout","rising","i-GATE College - Colombo","LK",367
"35","Breakout","rising","Centre for Distance and Continuing Education","LK",367
"36","Breakout","rising","Surveying","LK",367
"37","Breakout","rising","Faculty Of Arts, University Of Peradeniya","LK",367
"38","Breakout","rising","News","LK",367
"39","Breakout","rising","Translation","LK",367
"40","Breakout","rising","Google Translate","LK",367
"41","Breakout","rising","Google Classroom","LK",367
"42","Breakout","rising","United Kingdom","LK",367
"43","Breakout","rising","Quantity surveyor","LK",367
"44","Breakout","rising","Classroom","LK",367
"45","Breakout","rising","Tutor","LK",367
"46","Breakout","rising","Bachelor of Business Management","LK",367
"47","Breakout","rising","Episode","LK",367
"48","Breakout","rising","Coronavirus disease 2019","LK",367
"49","Breakout","rising","Cartoon","LK",367
"50","Breakout","rising","Instagram","LK",367
