"","subject","related_topics","value","category"
"1","100","top","Result",367
"2","78","top","E-Learning",367
"3","61","top","Student",367
"4","60","top","Lottery",367
"5","55","top","virtual classroom",367
"6","51","top","Number",367
"7","38","top","University",367
"8","31","top","Estácio de Sá Universities",367
"9","30","top","XSMB",367
"10","26","top","learning",367
"11","25","top","D2L",367
"12","25","top","D2L",367
"13","24","top","Distance education",367
"14","23","top","Bitcoin",367
"15","23","top","stock exchange price",367
"16","18","top","Course",367
"17","17","top","Open High School",367
"18","17","top","Education",367
"19","15","top","Norte do Paraná University",367
"20","15","top","Virtual learning environment",367
"21","14","top","Learning",367
"22","14","top","Secondary school",367
"23","13","top","XSMN",367
"24","12","top","2020",367
"25","Breakout","rising","Coronavirus disease 2019",367
"26","Breakout","rising","Coronavirus",367
"27","Breakout","rising","2021",367
"28","Breakout","rising","Menpora Cup",367
"29","Breakout","rising","Territory",367
"30","+4,400%","rising","1400",367
"31","+3,800%","rising","UEFA European Championship",367
"32","+2,900%","rising","Dogecoin",367
"33","+2,850%","rising","Zoom Video Communications",367
"34","+1,700%","rising","Emergency aid",367
"35","+900%","rising","2020",367
"36","+500%","rising","AlBalqa Applied University",367
"37","+400%","rising","Gate",367
"38","+300%","rising","Padang State University",367
"39","+300%","rising","Distance Classroom",367
"40","+300%","rising","Didactics",367
"41","+300%","rising","Schleswig-Holstein",367
"42","+300%","rising","Norddeutscher Rundfunk",367
"43","+300%","rising","Web page",367
"44","+250%","rising","Second grade",367
"45","+250%","rising","State Islamic University of North Sumatra",367
"46","+250%","rising","WhatsApp",367
"47","+250%","rising","Virtual school",367
"48","+200%","rising","Learning space",367
"49","+200%","rising","Learning management system",367
