"","subject","related_topics","value","geo","category"
"1","100","top","University","LK",74
"2","99","top","Sri Lanka","LK",74
"3","61","top","School","LK",74
"4","47","top","Paper","LK",74
"5","46","top","Past paper","LK",74
"6","37","top","English language","LK",74
"7","35","top","Course","LK",74
"8","33","top","Sinhala language","LK",74
"9","32","top","Education","LK",74
"10","30","top","Google","LK",74
"11","30","top","College","LK",74
"12","29","top","Colombo","LK",74
"13","29","top","Google Search","LK",74
"14","28","top","2020","LK",74
"15","25","top","Mathematics","LK",74
"16","22","top","Google Classroom","LK",74
"17","21","top","Science","LK",74
"18","20","top","Academic degree","LK",74
"19","20","top","Download","LK",74
"20","19","top","Tenth grade","LK",74
"21","18","top","Test","LK",74
"22","18","top","Result","LK",74
"23","17","top","Student","LK",74
"24","16","top","The Open University of Sri Lanka","LK",74
"25","16","top","Teacher","LK",74
"26","Breakout","rising","Coronavirus disease 2019","LK",74
"27","Breakout","rising","Susipvan Higher Education Center","LK",74
"28","Breakout","rising","Coronavirus","LK",74
"29","Breakout","rising","2021","LK",74
"30","+2,400%","rising","Zoom Video Communications","LK",74
"31","+2,200%","rising","2020","LK",74
"32","+1,300%","rising","Google Classroom","LK",74
"33","+1,050%","rising","Master","LK",74
"34","+1,000%","rising","NIBM World Wide","LK",74
"35","+250%","rising","WhatsApp","LK",74
"36","+250%","rising","WhatsApp","LK",74
"37","+250%","rising","Web application","LK",74
"38","+250%","rising","E-Learning","LK",74
"39","+160%","rising","Tenth grade","LK",74
"40","+160%","rising","Asiri Hospital Kandy ආසිරි රෝහල මහනුවර","LK",74
"41","+150%","rising","Learning management system","LK",74
"42","+140%","rising","Seventh grade","LK",74
"43","+130%","rising","Ninth grade","LK",74
"44","+130%","rising","Moodle","LK",74
"45","+120%","rising","Eighth grade","LK",74
"46","+120%","rising","Google","LK",74
"47","+120%","rising","Twelfth grade","LK",74
"48","+120%","rising","Fourth grade","LK",74
"49","+120%","rising","Google Search","LK",74
"50","+120%","rising","Combined Mathematics","LK",74
