"","subject","related_topics","value","category"
"1","100","top","School",74
"2","72","top","University",74
"3","60","top","Google Classroom",74
"4","53","top","Google Search",74
"5","51","top","Google",74
"6","39","top","2020",74
"7","31","top","College",74
"8","26","top","Education",74
"9","25","top","Result",74
"10","25","top","2021",74
"11","22","top","Course",74
"12","20","top","Mathematics",74
"13","20","top","Student",74
"14","19","top","Secondary school",74
"15","18","top","Test",74
"16","17","top","Teacher",74
"17","16","top","Book",74
"18","15","top","English language",74
"19","12","top","Primary school",74
"20","11","top","Science",74
"21","10","top","Question",74
"22","9","top","Facebook",74
"23","9","top","PDF",74
"24","8","top","Lesson",74
"25","8","top","Child",74
"26","Breakout","rising","Coronavirus disease 2019",74
"27","Breakout","rising","Coronavirus",74
"28","Breakout","rising","COVID-19 testing",74
"29","Breakout","rising","2021",74
"30","+1,950%","rising","CBSE Class 10th · 2020",74
"31","+1,200%","rising","Computing platform",74
"32","+1,000%","rising","2020",74
"33","+350%","rising","Page",74
"34","+300%","rising","Theme",74
"35","+250%","rising","Johns Hopkins University",74
"36","+250%","rising","Web page",74
"37","+200%","rising","WhatsApp",74
"38","+170%","rising","WhatsApp",74
"39","+170%","rising","Google Classroom",74
"40","+150%","rising","E-Learning",74
"41","+130%","rising","virtual classroom",74
"42","+110%","rising","Multiple choice",74
"43","+80%","rising","Google Search",74
"44","+80%","rising","Google",74
"45","+70%","rising","Prediction",74
"46","+70%","rising","XSMB",74
"47","+70%","rising","Indian Certificate of Secondary Education",74
"48","+60%","rising","MEBBIS",74
"49","+60%","rising","Class",74
"50","+50%","rising","learning",74
