"","date","hits","geo","time","gprop","category"
"1",2019-12-01,48,"LK","2019-12-01 2021-08-15","web",367
"2",2019-12-08,22,"LK","2019-12-01 2021-08-15","web",367
"3",2019-12-15,63,"LK","2019-12-01 2021-08-15","web",367
"4",2019-12-22,40,"LK","2019-12-01 2021-08-15","web",367
"5",2019-12-29,48,"LK","2019-12-01 2021-08-15","web",367
"6",2020-01-05,88,"LK","2019-12-01 2021-08-15","web",367
"7",2020-01-12,51,"LK","2019-12-01 2021-08-15","web",367
"8",2020-01-19,81,"LK","2019-12-01 2021-08-15","web",367
"9",2020-01-26,41,"LK","2019-12-01 2021-08-15","web",367
"10",2020-02-02,71,"LK","2019-12-01 2021-08-15","web",367
"11",2020-02-09,70,"LK","2019-12-01 2021-08-15","web",367
"12",2020-02-16,59,"LK","2019-12-01 2021-08-15","web",367
"13",2020-02-23,75,"LK","2019-12-01 2021-08-15","web",367
"14",2020-03-01,46,"LK","2019-12-01 2021-08-15","web",367
"15",2020-03-08,48,"LK","2019-12-01 2021-08-15","web",367
"16",2020-03-15,41,"LK","2019-12-01 2021-08-15","web",367
"17",2020-03-22,48,"LK","2019-12-01 2021-08-15","web",367
"18",2020-03-29,45,"LK","2019-12-01 2021-08-15","web",367
"19",2020-04-05,52,"LK","2019-12-01 2021-08-15","web",367
"20",2020-04-12,35,"LK","2019-12-01 2021-08-15","web",367
"21",2020-04-19,31,"LK","2019-12-01 2021-08-15","web",367
"22",2020-04-26,41,"LK","2019-12-01 2021-08-15","web",367
"23",2020-05-03,31,"LK","2019-12-01 2021-08-15","web",367
"24",2020-05-10,37,"LK","2019-12-01 2021-08-15","web",367
"25",2020-05-17,40,"LK","2019-12-01 2021-08-15","web",367
"26",2020-05-24,62,"LK","2019-12-01 2021-08-15","web",367
"27",2020-05-31,63,"LK","2019-12-01 2021-08-15","web",367
"28",2020-06-07,54,"LK","2019-12-01 2021-08-15","web",367
"29",2020-06-14,51,"LK","2019-12-01 2021-08-15","web",367
"30",2020-06-21,50,"LK","2019-12-01 2021-08-15","web",367
"31",2020-06-28,90,"LK","2019-12-01 2021-08-15","web",367
"32",2020-07-05,75,"LK","2019-12-01 2021-08-15","web",367
"33",2020-07-12,83,"LK","2019-12-01 2021-08-15","web",367
"34",2020-07-19,97,"LK","2019-12-01 2021-08-15","web",367
"35",2020-07-26,71,"LK","2019-12-01 2021-08-15","web",367
"36",2020-08-02,60,"LK","2019-12-01 2021-08-15","web",367
"37",2020-08-09,38,"LK","2019-12-01 2021-08-15","web",367
"38",2020-08-16,69,"LK","2019-12-01 2021-08-15","web",367
"39",2020-08-23,64,"LK","2019-12-01 2021-08-15","web",367
"40",2020-08-30,59,"LK","2019-12-01 2021-08-15","web",367
"41",2020-09-06,52,"LK","2019-12-01 2021-08-15","web",367
"42",2020-09-13,49,"LK","2019-12-01 2021-08-15","web",367
"43",2020-09-20,59,"LK","2019-12-01 2021-08-15","web",367
"44",2020-09-27,42,"LK","2019-12-01 2021-08-15","web",367
"45",2020-10-04,74,"LK","2019-12-01 2021-08-15","web",367
"46",2020-10-11,52,"LK","2019-12-01 2021-08-15","web",367
"47",2020-10-18,51,"LK","2019-12-01 2021-08-15","web",367
"48",2020-10-25,42,"LK","2019-12-01 2021-08-15","web",367
"49",2020-11-01,66,"LK","2019-12-01 2021-08-15","web",367
"50",2020-11-08,57,"LK","2019-12-01 2021-08-15","web",367
"51",2020-11-15,59,"LK","2019-12-01 2021-08-15","web",367
"52",2020-11-22,45,"LK","2019-12-01 2021-08-15","web",367
"53",2020-11-29,45,"LK","2019-12-01 2021-08-15","web",367
"54",2020-12-06,60,"LK","2019-12-01 2021-08-15","web",367
"55",2020-12-13,53,"LK","2019-12-01 2021-08-15","web",367
"56",2020-12-20,52,"LK","2019-12-01 2021-08-15","web",367
"57",2020-12-27,41,"LK","2019-12-01 2021-08-15","web",367
"58",2021-01-03,51,"LK","2019-12-01 2021-08-15","web",367
"59",2021-01-10,57,"LK","2019-12-01 2021-08-15","web",367
"60",2021-01-17,86,"LK","2019-12-01 2021-08-15","web",367
"61",2021-01-24,55,"LK","2019-12-01 2021-08-15","web",367
"62",2021-01-31,57,"LK","2019-12-01 2021-08-15","web",367
"63",2021-02-07,80,"LK","2019-12-01 2021-08-15","web",367
"64",2021-02-14,81,"LK","2019-12-01 2021-08-15","web",367
"65",2021-02-21,76,"LK","2019-12-01 2021-08-15","web",367
"66",2021-02-28,63,"LK","2019-12-01 2021-08-15","web",367
"67",2021-03-07,74,"LK","2019-12-01 2021-08-15","web",367
"68",2021-03-14,55,"LK","2019-12-01 2021-08-15","web",367
"69",2021-03-21,55,"LK","2019-12-01 2021-08-15","web",367
"70",2021-03-28,62,"LK","2019-12-01 2021-08-15","web",367
"71",2021-04-04,52,"LK","2019-12-01 2021-08-15","web",367
"72",2021-04-11,23,"LK","2019-12-01 2021-08-15","web",367
"73",2021-04-18,64,"LK","2019-12-01 2021-08-15","web",367
"74",2021-04-25,49,"LK","2019-12-01 2021-08-15","web",367
"75",2021-05-02,86,"LK","2019-12-01 2021-08-15","web",367
"76",2021-05-09,83,"LK","2019-12-01 2021-08-15","web",367
"77",2021-05-16,72,"LK","2019-12-01 2021-08-15","web",367
"78",2021-05-23,75,"LK","2019-12-01 2021-08-15","web",367
"79",2021-05-30,61,"LK","2019-12-01 2021-08-15","web",367
"80",2021-06-06,86,"LK","2019-12-01 2021-08-15","web",367
"81",2021-06-13,72,"LK","2019-12-01 2021-08-15","web",367
"82",2021-06-20,82,"LK","2019-12-01 2021-08-15","web",367
"83",2021-06-27,79,"LK","2019-12-01 2021-08-15","web",367
"84",2021-07-04,69,"LK","2019-12-01 2021-08-15","web",367
"85",2021-07-11,100,"LK","2019-12-01 2021-08-15","web",367
"86",2021-07-18,66,"LK","2019-12-01 2021-08-15","web",367
"87",2021-07-25,68,"LK","2019-12-01 2021-08-15","web",367
"88",2021-08-01,73,"LK","2019-12-01 2021-08-15","web",367
"89",2021-08-08,50,"LK","2019-12-01 2021-08-15","web",367
