"","date","hits","geo","time","gprop","category"
"1",2019-12-01,77,"world","2019-12-01 2021-08-15","web",367
"2",2019-12-08,71,"world","2019-12-01 2021-08-15","web",367
"3",2019-12-15,63,"world","2019-12-01 2021-08-15","web",367
"4",2019-12-22,50,"world","2019-12-01 2021-08-15","web",367
"5",2019-12-29,50,"world","2019-12-01 2021-08-15","web",367
"6",2020-01-05,67,"world","2019-12-01 2021-08-15","web",367
"7",2020-01-12,71,"world","2019-12-01 2021-08-15","web",367
"8",2020-01-19,68,"world","2019-12-01 2021-08-15","web",367
"9",2020-01-26,70,"world","2019-12-01 2021-08-15","web",367
"10",2020-02-02,73,"world","2019-12-01 2021-08-15","web",367
"11",2020-02-09,72,"world","2019-12-01 2021-08-15","web",367
"12",2020-02-16,75,"world","2019-12-01 2021-08-15","web",367
"13",2020-02-23,70,"world","2019-12-01 2021-08-15","web",367
"14",2020-03-01,74,"world","2019-12-01 2021-08-15","web",367
"15",2020-03-08,83,"world","2019-12-01 2021-08-15","web",367
"16",2020-03-15,85,"world","2019-12-01 2021-08-15","web",367
"17",2020-03-22,87,"world","2019-12-01 2021-08-15","web",367
"18",2020-03-29,86,"world","2019-12-01 2021-08-15","web",367
"19",2020-04-05,73,"world","2019-12-01 2021-08-15","web",367
"20",2020-04-12,80,"world","2019-12-01 2021-08-15","web",367
"21",2020-04-19,83,"world","2019-12-01 2021-08-15","web",367
"22",2020-04-26,83,"world","2019-12-01 2021-08-15","web",367
"23",2020-05-03,85,"world","2019-12-01 2021-08-15","web",367
"24",2020-05-10,84,"world","2019-12-01 2021-08-15","web",367
"25",2020-05-17,81,"world","2019-12-01 2021-08-15","web",367
"26",2020-05-24,77,"world","2019-12-01 2021-08-15","web",367
"27",2020-05-31,79,"world","2019-12-01 2021-08-15","web",367
"28",2020-06-07,75,"world","2019-12-01 2021-08-15","web",367
"29",2020-06-14,78,"world","2019-12-01 2021-08-15","web",367
"30",2020-06-21,73,"world","2019-12-01 2021-08-15","web",367
