"","date","hits","geo","time","gprop","category"
"1",2019-12-01,60,"LK","2019-12-01 2021-08-15","web",74
"2",2019-12-08,60,"LK","2019-12-01 2021-08-15","web",74
"3",2019-12-15,64,"LK","2019-12-01 2021-08-15","web",74
"4",2019-12-22,100,"LK","2019-12-01 2021-08-15","web",74
"5",2019-12-29,81,"LK","2019-12-01 2021-08-15","web",74
"6",2020-01-05,79,"LK","2019-12-01 2021-08-15","web",74
"7",2020-01-12,71,"LK","2019-12-01 2021-08-15","web",74
"8",2020-01-19,67,"LK","2019-12-01 2021-08-15","web",74
"9",2020-01-26,60,"LK","2019-12-01 2021-08-15","web",74
"10",2020-02-02,64,"LK","2019-12-01 2021-08-15","web",74
"11",2020-02-09,70,"LK","2019-12-01 2021-08-15","web",74
"12",2020-02-16,67,"LK","2019-12-01 2021-08-15","web",74
"13",2020-02-23,69,"LK","2019-12-01 2021-08-15","web",74
"14",2020-03-01,60,"LK","2019-12-01 2021-08-15","web",74
"15",2020-03-08,60,"LK","2019-12-01 2021-08-15","web",74
"16",2020-03-15,46,"LK","2019-12-01 2021-08-15","web",74
"17",2020-03-22,45,"LK","2019-12-01 2021-08-15","web",74
"18",2020-03-29,48,"LK","2019-12-01 2021-08-15","web",74
"19",2020-04-05,52,"LK","2019-12-01 2021-08-15","web",74
"20",2020-04-12,45,"LK","2019-12-01 2021-08-15","web",74
"21",2020-04-19,55,"LK","2019-12-01 2021-08-15","web",74
"22",2020-04-26,86,"LK","2019-12-01 2021-08-15","web",74
"23",2020-05-03,62,"LK","2019-12-01 2021-08-15","web",74
"24",2020-05-10,71,"LK","2019-12-01 2021-08-15","web",74
"25",2020-05-17,64,"LK","2019-12-01 2021-08-15","web",74
"26",2020-05-24,65,"LK","2019-12-01 2021-08-15","web",74
"27",2020-05-31,65,"LK","2019-12-01 2021-08-15","web",74
"28",2020-06-07,69,"LK","2019-12-01 2021-08-15","web",74
"29",2020-06-14,69,"LK","2019-12-01 2021-08-15","web",74
"30",2020-06-21,65,"LK","2019-12-01 2021-08-15","web",74
"31",2020-06-28,66,"LK","2019-12-01 2021-08-15","web",74
"32",2020-07-05,67,"LK","2019-12-01 2021-08-15","web",74
"33",2020-07-12,67,"LK","2019-12-01 2021-08-15","web",74
"34",2020-07-19,69,"LK","2019-12-01 2021-08-15","web",74
"35",2020-07-26,66,"LK","2019-12-01 2021-08-15","web",74
"36",2020-08-02,59,"LK","2019-12-01 2021-08-15","web",74
"37",2020-08-09,71,"LK","2019-12-01 2021-08-15","web",74
"38",2020-08-16,69,"LK","2019-12-01 2021-08-15","web",74
"39",2020-08-23,70,"LK","2019-12-01 2021-08-15","web",74
"40",2020-08-30,69,"LK","2019-12-01 2021-08-15","web",74
"41",2020-09-06,67,"LK","2019-12-01 2021-08-15","web",74
"42",2020-09-13,70,"LK","2019-12-01 2021-08-15","web",74
"43",2020-09-20,68,"LK","2019-12-01 2021-08-15","web",74
"44",2020-09-27,67,"LK","2019-12-01 2021-08-15","web",74
"45",2020-10-04,71,"LK","2019-12-01 2021-08-15","web",74
"46",2020-10-11,77,"LK","2019-12-01 2021-08-15","web",74
"47",2020-10-18,70,"LK","2019-12-01 2021-08-15","web",74
"48",2020-10-25,73,"LK","2019-12-01 2021-08-15","web",74
"49",2020-11-01,58,"LK","2019-12-01 2021-08-15","web",74
"50",2020-11-08,63,"LK","2019-12-01 2021-08-15","web",74
"51",2020-11-15,84,"LK","2019-12-01 2021-08-15","web",74
"52",2020-11-22,70,"LK","2019-12-01 2021-08-15","web",74
"53",2020-11-29,68,"LK","2019-12-01 2021-08-15","web",74
"54",2020-12-06,70,"LK","2019-12-01 2021-08-15","web",74
"55",2020-12-13,65,"LK","2019-12-01 2021-08-15","web",74
"56",2020-12-20,63,"LK","2019-12-01 2021-08-15","web",74
"57",2020-12-27,58,"LK","2019-12-01 2021-08-15","web",74
"58",2021-01-03,72,"LK","2019-12-01 2021-08-15","web",74
"59",2021-01-10,76,"LK","2019-12-01 2021-08-15","web",74
"60",2021-01-17,73,"LK","2019-12-01 2021-08-15","web",74
"61",2021-01-24,72,"LK","2019-12-01 2021-08-15","web",74
"62",2021-01-31,72,"LK","2019-12-01 2021-08-15","web",74
"63",2021-02-07,78,"LK","2019-12-01 2021-08-15","web",74
"64",2021-02-14,82,"LK","2019-12-01 2021-08-15","web",74
"65",2021-02-21,71,"LK","2019-12-01 2021-08-15","web",74
"66",2021-02-28,73,"LK","2019-12-01 2021-08-15","web",74
"67",2021-03-07,72,"LK","2019-12-01 2021-08-15","web",74
