"","date","hits","geo","time","gprop","category"
"1",2019-12-01,80,"world","2019-12-01 2021-08-15","web",74
"2",2019-12-08,79,"world","2019-12-01 2021-08-15","web",74
"3",2019-12-15,77,"world","2019-12-01 2021-08-15","web",74
"4",2019-12-22,56,"world","2019-12-01 2021-08-15","web",74
"5",2019-12-29,62,"world","2019-12-01 2021-08-15","web",74
"6",2020-01-05,84,"world","2019-12-01 2021-08-15","web",74
"7",2020-01-12,86,"world","2019-12-01 2021-08-15","web",74
"8",2020-01-19,85,"world","2019-12-01 2021-08-15","web",74
"9",2020-01-26,85,"world","2019-12-01 2021-08-15","web",74
"10",2020-02-02,86,"world","2019-12-01 2021-08-15","web",74
"11",2020-02-09,85,"world","2019-12-01 2021-08-15","web",74
"12",2020-02-16,80,"world","2019-12-01 2021-08-15","web",74
"13",2020-02-23,83,"world","2019-12-01 2021-08-15","web",74
"14",2020-03-01,85,"world","2019-12-01 2021-08-15","web",74
"15",2020-03-08,95,"world","2019-12-01 2021-08-15","web",74
"16",2020-03-15,89,"world","2019-12-01 2021-08-15","web",74
"17",2020-03-22,82,"world","2019-12-01 2021-08-15","web",74
"18",2020-03-29,85,"world","2019-12-01 2021-08-15","web",74
"19",2020-04-05,74,"world","2019-12-01 2021-08-15","web",74
"20",2020-04-12,78,"world","2019-12-01 2021-08-15","web",74
"21",2020-04-19,83,"world","2019-12-01 2021-08-15","web",74
"22",2020-04-26,78,"world","2019-12-01 2021-08-15","web",74
"23",2020-05-03,80,"world","2019-12-01 2021-08-15","web",74
"24",2020-05-10,78,"world","2019-12-01 2021-08-15","web",74
"25",2020-05-17,78,"world","2019-12-01 2021-08-15","web",74
"26",2020-05-24,75,"world","2019-12-01 2021-08-15","web",74
"27",2020-05-31,77,"world","2019-12-01 2021-08-15","web",74
"28",2020-06-07,76,"world","2019-12-01 2021-08-15","web",74
"29",2020-06-14,76,"world","2019-12-01 2021-08-15","web",74
"30",2020-06-21,71,"world","2019-12-01 2021-08-15","web",74
"31",2020-06-28,72,"world","2019-12-01 2021-08-15","web",74
"32",2020-07-05,72,"world","2019-12-01 2021-08-15","web",74
"33",2020-07-12,78,"world","2019-12-01 2021-08-15","web",74
"34",2020-07-19,72,"world","2019-12-01 2021-08-15","web",74
"35",2020-07-26,73,"world","2019-12-01 2021-08-15","web",74
"36",2020-08-02,74,"world","2019-12-01 2021-08-15","web",74
"37",2020-08-09,81,"world","2019-12-01 2021-08-15","web",74
"38",2020-08-16,84,"world","2019-12-01 2021-08-15","web",74
"39",2020-08-23,93,"world","2019-12-01 2021-08-15","web",74
"40",2020-08-30,98,"world","2019-12-01 2021-08-15","web",74
"41",2020-09-06,100,"world","2019-12-01 2021-08-15","web",74
"42",2020-09-13,94,"world","2019-12-01 2021-08-15","web",74
"43",2020-09-20,91,"world","2019-12-01 2021-08-15","web",74
"44",2020-09-27,91,"world","2019-12-01 2021-08-15","web",74
"45",2020-10-04,93,"world","2019-12-01 2021-08-15","web",74
"46",2020-10-11,86,"world","2019-12-01 2021-08-15","web",74
"47",2020-10-18,83,"world","2019-12-01 2021-08-15","web",74
"48",2020-10-25,80,"world","2019-12-01 2021-08-15","web",74
"49",2020-11-01,77,"world","2019-12-01 2021-08-15","web",74
