"","date","confirmed","death","recovery"
"1",2020-01-22,557,17,30
"2",2020-01-23,100,1,2
"3",2020-01-24,287,8,7
"4",2020-01-25,493,16,3
"5",2020-01-26,683,14,14
"6",2020-01-27,809,26,9
"7",2020-01-28,2651,49,43
"8",2020-01-29,589,2,19
"9",2020-01-30,2068,39,18
"10",2020-01-31,1690,42,80
"11",2020-02-01,2111,46,62
"12",2020-02-02,4749,104,189
"13",2020-02-03,3100,64,151
"14",2020-02-04,4012,66,230
"15",2020-02-05,3745,72,273
"16",2020-02-06,3162,70,363
"17",2020-02-07,3594,85,523
"18",2020-02-08,2731,87,601
"19",2020-02-09,3031,100,630
"20",2020-02-10,2609,107,702
"21",2020-02-11,2043,100,735
"22",2020-02-12,418,5,467
"23",2020-02-13,15152,253,1143
"24",2020-02-14,6528,152,1767
"25",2020-02-15,2143,143,1336
"26",2020-02-16,2183,104,1470
"27",2020-02-17,2035,98,1720
"28",2020-02-18,1882,140,1765
"29",2020-02-19,500,115,1771
"30",2020-02-20,561,125,2058
"31",2020-02-21,630,4,713
"32",2020-02-22,1762,208,3998
"33",2020-02-23,382,11,505
"34",2020-02-24,568,160,1832
"35",2020-02-25,854,80,2678
"36",2020-02-26,972,61,2481
"37",2020-02-27,1344,43,2894
"38",2020-02-28,1424,59,3432
"39",2020-02-29,1871,70,3071
"40",2020-03-01,2379,54,2936
"41",2020-03-02,1980,90,2884
"42",2020-03-03,2612,74,2622
"43",2020-03-04,2344,96,2943
"44",2020-03-05,2740,95,2626
"45",2020-03-06,3984,114,2068
"46",2020-03-07,4137,104,2494
"47",2020-03-08,3798,242,2337
"48",2020-03-09,4295,194,1800
"49",2020-03-10,4759,275,1907
"50",2020-03-11,7476,352,2597
"51",2020-03-12,6756,321,1329
"52",2020-03-13,13194,503,1927
"53",2020-03-14,10888,426,2367
"54",2020-03-15,11233,671,3409
"55",2020-03-16,14567,711,2055
"56",2020-03-17,15174,851,2744
"57",2020-03-18,17561,956,2487
"58",2020-03-19,27087,1142,1641
"59",2020-03-20,29530,1574,2445
"60",2020-03-21,32427,1808,4247
"61",2020-03-22,34212,1828,6217
"62",2020-03-23,42555,2096,488
"63",2020-03-24,41883,2426,9619
"64",2020-03-25,51481,2971,5779
"65",2020-03-26,60814,3253,8372
"66",2020-03-27,63931,3639,8785
"67",2020-03-28,69582,4049,8511
"68",2020-03-29,56516,3819,9456
"69",2020-03-30,65011,4370,15336
"70",2020-03-31,78442,5168,13590
"71",2020-04-01,86357,6644,15272
"72",2020-04-02,82448,6253,17143
"73",2020-04-03,84210,6502,15422
"74",2020-04-04,60121,6359,20412
"75",2020-04-05,71715,5921,13836
"76",2020-04-06,74726,6427,16709
"77",2020-04-07,68938,8517,23262
"78",2020-04-08,82176,7220,28882
"79",2020-04-09,87181,8155,25254
"80",2020-04-10,86422,7741,21738
"81",2020-04-11,75515,6982,26250
"82",2020-04-12,118581,6514,19383
"83",2020-04-13,71832,6513,27257
"84",2020-04-14,84633,7357,25074
"85",2020-04-15,78256,8765,36539
"86",2020-04-16,94468,7712,30883
"87",2020-04-17,87880,8888,26184
"88",2020-04-18,78252,6430,23866
"89",2020-04-19,76322,6101,31783
"90",2020-04-20,76482,6511,22178
"91",2020-04-21,76087,7196,34802
"92",2020-04-22,82038,7279,30085
"93",2020-04-23,82717,7270,28730
"94",2020-04-24,83563,6838,50029
"95",2020-04-25,83205,6050,27755
"96",2020-04-26,70795,4816,28812
"97",2020-04-27,70984,5445,27884
"98",2020-04-28,75832,6629,33212
"99",2020-04-29,77328,6980,42077
"100",2020-04-30,83652,6253,65116
"101",2020-05-01,88946,5587,38157
"102",2020-05-02,78262,6046,40651
"103",2020-05-03,73997,4275,32533
"104",2020-05-04,77637,4845,34086
"105",2020-05-05,79685,6147,36473
"106",2020-05-06,90422,6760,46119
"107",2020-05-07,89138,5866,39525
"108",2020-05-08,90483,5955,36413
"109",2020-05-09,84343,4918,53441
"110",2020-05-10,75223,4338,33809
"111",2020-05-11,76141,4078,46885
"112",2020-05-12,85280,5730,37042
"113",2020-05-13,84348,5437,55872
"114",2020-05-14,95642,5749,39711
"115",2020-05-15,95902,5753,48103
"116",2020-05-16,93890,4541,56411
"117",2020-05-17,78363,3880,41008
"118",2020-05-18,89132,4395,52916
"119",2020-05-19,95818,4968,52052
"120",2020-05-20,105423,5406,58970
"121",2020-05-21,105973,5035,51220
"122",2020-05-22,107342,5706,108547
"123",2020-05-23,104150,4454,54834
"124",2020-05-24,93216,3400,55527
"125",2020-05-25,88223,1694,63729
"126",2020-05-26,92362,4780,55152
"127",2020-05-27,102556,5220,63327
"128",2020-05-28,119993,4991,66863
"129",2020-05-29,121436,5156,77265
"130",2020-05-30,135043,4359,70450
"131",2020-05-31,102860,3287,76384
"132",2020-06-01,100264,3741,54925
"133",2020-06-02,122641,5271,104112
"134",2020-06-03,111216,5621,79091
"135",2020-06-04,138230,5528,70070
"136",2020-06-05,133406,5057,69165
"137",2020-06-06,129330,4140,72204
"138",2020-06-07,111012,3257,55109
"139",2020-06-08,103048,4455,151611
