"","date","hits","keyword","geo","time","gprop","category"
"1",2017-12-01,"29","Online Learning","world","2017-12-01 2024-04-30","web",0
"2",2018-01-01,"33","Online Learning","world","2017-12-01 2024-04-30","web",0
"3",2018-02-01,"34","Online Learning","world","2017-12-01 2024-04-30","web",0
"4",2018-03-01,"34","Online Learning","world","2017-12-01 2024-04-30","web",0
"5",2018-04-01,"31","Online Learning","world","2017-12-01 2024-04-30","web",0
"6",2018-05-01,"32","Online Learning","world","2017-12-01 2024-04-30","web",0
"7",2018-06-01,"32","Online Learning","world","2017-12-01 2024-04-30","web",0
"8",2018-07-01,"28","Online Learning","world","2017-12-01 2024-04-30","web",0
"9",2018-08-01,"29","Online Learning","world","2017-12-01 2024-04-30","web",0
"10",2018-09-01,"32","Online Learning","world","2017-12-01 2024-04-30","web",0
"11",2018-10-01,"32","Online Learning","world","2017-12-01 2024-04-30","web",0
"12",2018-11-01,"32","Online Learning","world","2017-12-01 2024-04-30","web",0
"13",2018-12-01,"28","Online Learning","world","2017-12-01 2024-04-30","web",0
"14",2019-01-01,"30","Online Learning","world","2017-12-01 2024-04-30","web",0
"15",2019-02-01,"32","Online Learning","world","2017-12-01 2024-04-30","web",0
"16",2019-03-01,"30","Online Learning","world","2017-12-01 2024-04-30","web",0
"17",2019-04-01,"29","Online Learning","world","2017-12-01 2024-04-30","web",0
"18",2019-05-01,"29","Online Learning","world","2017-12-01 2024-04-30","web",0
"19",2019-06-01,"28","Online Learning","world","2017-12-01 2024-04-30","web",0
"20",2019-07-01,"29","Online Learning","world","2017-12-01 2024-04-30","web",0
"21",2019-08-01,"30","Online Learning","world","2017-12-01 2024-04-30","web",0
"22",2019-09-01,"38","Online Learning","world","2017-12-01 2024-04-30","web",0
"23",2019-10-01,"33","Online Learning","world","2017-12-01 2024-04-30","web",0
"24",2019-11-01,"33","Online Learning","world","2017-12-01 2024-04-30","web",0
"25",2019-12-01,"29","Online Learning","world","2017-12-01 2024-04-30","web",0
"26",2020-01-01,"33","Online Learning","world","2017-12-01 2024-04-30","web",0
"27",2020-02-01,"35","Online Learning","world","2017-12-01 2024-04-30","web",0
"28",2020-03-01,"83","Online Learning","world","2017-12-01 2024-04-30","web",0
"29",2020-04-01,"100","Online Learning","world","2017-12-01 2024-04-30","web",0
"30",2020-05-01,"77","Online Learning","world","2017-12-01 2024-04-30","web",0
"31",2020-06-01,"72","Online Learning","world","2017-12-01 2024-04-30","web",0
"32",2020-07-01,"70","Online Learning","world","2017-12-01 2024-04-30","web",0
"33",2020-08-01,"77","Online Learning","world","2017-12-01 2024-04-30","web",0
"34",2020-09-01,"78","Online Learning","world","2017-12-01 2024-04-30","web",0
"35",2020-10-01,"66","Online Learning","world","2017-12-01 2024-04-30","web",0
"36",2020-11-01,"61","Online Learning","world","2017-12-01 2024-04-30","web",0
"37",2020-12-01,"51","Online Learning","world","2017-12-01 2024-04-30","web",0
"38",2021-01-01,"64","Online Learning","world","2017-12-01 2024-04-30","web",0
"39",2021-02-01,"56","Online Learning","world","2017-12-01 2024-04-30","web",0
"40",2021-03-01,"55","Online Learning","world","2017-12-01 2024-04-30","web",0
"41",2021-04-01,"57","Online Learning","world","2017-12-01 2024-04-30","web",0
"42",2021-05-01,"53","Online Learning","world","2017-12-01 2024-04-30","web",0
"43",2021-06-01,"54","Online Learning","world","2017-12-01 2024-04-30","web",0
"44",2021-07-01,"47","Online Learning","world","2017-12-01 2024-04-30","web",0
"45",2021-08-01,"45","Online Learning","world","2017-12-01 2024-04-30","web",0
"46",2021-09-01,"51","Online Learning","world","2017-12-01 2024-04-30","web",0
"47",2021-10-01,"54","Online Learning","world","2017-12-01 2024-04-30","web",0
"48",2021-11-01,"54","Online Learning","world","2017-12-01 2024-04-30","web",0
"49",2021-12-01,"48","Online Learning","world","2017-12-01 2024-04-30","web",0
"50",2022-01-01,"64","Online Learning","world","2017-12-01 2024-04-30","web",0
"51",2022-02-01,"62","Online Learning","world","2017-12-01 2024-04-30","web",0
"52",2022-03-01,"66","Online Learning","world","2017-12-01 2024-04-30","web",0
"53",2022-04-01,"62","Online Learning","world","2017-12-01 2024-04-30","web",0
"54",2022-05-01,"60","Online Learning","world","2017-12-01 2024-04-30","web",0
"55",2022-06-01,"55","Online Learning","world","2017-12-01 2024-04-30","web",0
"56",2022-07-01,"44","Online Learning","world","2017-12-01 2024-04-30","web",0
"57",2022-08-01,"41","Online Learning","world","2017-12-01 2024-04-30","web",0
"58",2022-09-01,"49","Online Learning","world","2017-12-01 2024-04-30","web",0
"59",2022-10-01,"48","Online Learning","world","2017-12-01 2024-04-30","web",0
"60",2022-11-01,"51","Online Learning","world","2017-12-01 2024-04-30","web",0
"61",2022-12-01,"45","Online Learning","world","2017-12-01 2024-04-30","web",0
"62",2023-01-01,"47","Online Learning","world","2017-12-01 2024-04-30","web",0
"63",2023-02-01,"44","Online Learning","world","2017-12-01 2024-04-30","web",0
"64",2023-03-01,"47","Online Learning","world","2017-12-01 2024-04-30","web",0
"65",2023-04-01,"43","Online Learning","world","2017-12-01 2024-04-30","web",0
"66",2023-05-01,"49","Online Learning","world","2017-12-01 2024-04-30","web",0
"67",2023-06-01,"43","Online Learning","world","2017-12-01 2024-04-30","web",0
"68",2023-07-01,"40","Online Learning","world","2017-12-01 2024-04-30","web",0
"69",2023-08-01,"38","Online Learning","world","2017-12-01 2024-04-30","web",0
"70",2023-09-01,"42","Online Learning","world","2017-12-01 2024-04-30","web",0
"71",2023-10-01,"45","Online Learning","world","2017-12-01 2024-04-30","web",0
"72",2023-11-01,"45","Online Learning","world","2017-12-01 2024-04-30","web",0
"73",2023-12-01,"43","Online Learning","world","2017-12-01 2024-04-30","web",0
"74",2024-01-01,"44","Online Learning","world","2017-12-01 2024-04-30","web",0
"75",2024-02-01,"42","Online Learning","world","2017-12-01 2024-04-30","web",0
"76",2024-03-01,"42","Online Learning","world","2017-12-01 2024-04-30","web",0
"77",2024-04-01,"45","Online Learning","world","2017-12-01 2024-04-30","web",0
"78",2017-12-01,"11","Online teaching","world","2017-12-01 2024-04-30","web",0
"79",2018-01-01,"15","Online teaching","world","2017-12-01 2024-04-30","web",0
"80",2018-02-01,"14","Online teaching","world","2017-12-01 2024-04-30","web",0
"81",2018-03-01,"13","Online teaching","world","2017-12-01 2024-04-30","web",0
"82",2018-04-01,"13","Online teaching","world","2017-12-01 2024-04-30","web",0
"83",2018-05-01,"15","Online teaching","world","2017-12-01 2024-04-30","web",0
"84",2018-06-01,"13","Online teaching","world","2017-12-01 2024-04-30","web",0
"85",2018-07-01,"14","Online teaching","world","2017-12-01 2024-04-30","web",0
"86",2018-08-01,"15","Online teaching","world","2017-12-01 2024-04-30","web",0
"87",2018-09-01,"14","Online teaching","world","2017-12-01 2024-04-30","web",0
"88",2018-10-01,"14","Online teaching","world","2017-12-01 2024-04-30","web",0
"89",2018-11-01,"12","Online teaching","world","2017-12-01 2024-04-30","web",0
"90",2018-12-01,"11","Online teaching","world","2017-12-01 2024-04-30","web",0
"91",2019-01-01,"15","Online teaching","world","2017-12-01 2024-04-30","web",0
"92",2019-02-01,"13","Online teaching","world","2017-12-01 2024-04-30","web",0
"93",2019-03-01,"14","Online teaching","world","2017-12-01 2024-04-30","web",0
"94",2019-04-01,"14","Online teaching","world","2017-12-01 2024-04-30","web",0
"95",2019-05-01,"15","Online teaching","world","2017-12-01 2024-04-30","web",0
